"Notes"	"Month Day, Year"	"Month Day, Year Code"	"State"	"State Code"	Avg Daily Max Air Temperature (F)
	"Apr 25, 1999"	"1999/04/25"	"Georgia"	"13"	73.01
"Total"	"Apr 25, 1999"	"1999/04/25"			73.01
	"Apr 26, 1999"	"1999/04/26"	"Georgia"	"13"	79.53
"Total"	"Apr 26, 1999"	"1999/04/26"			79.53
	"Apr 27, 1999"	"1999/04/27"	"Georgia"	"13"	83.23
"Total"	"Apr 27, 1999"	"1999/04/27"			83.23
	"Apr 28, 1999"	"1999/04/28"	"Georgia"	"13"	78.60
"Total"	"Apr 28, 1999"	"1999/04/28"			78.60
	"Apr 29, 1999"	"1999/04/29"	"Georgia"	"13"	66.48
"Total"	"Apr 29, 1999"	"1999/04/29"			66.48
	"Apr 30, 1999"	"1999/04/30"	"Georgia"	"13"	54.54
"Total"	"Apr 30, 1999"	"1999/04/30"			54.54
	"May 01, 1999"	"1999/05/01"	"Georgia"	"13"	62.24
"Total"	"May 01, 1999"	"1999/05/01"			62.24
	"May 02, 1999"	"1999/05/02"	"Georgia"	"13"	71.97
"Total"	"May 02, 1999"	"1999/05/02"			71.97
	"May 03, 1999"	"1999/05/03"	"Georgia"	"13"	76.34
"Total"	"May 03, 1999"	"1999/05/03"			76.34
	"May 04, 1999"	"1999/05/04"	"Georgia"	"13"	81.32
"Total"	"May 04, 1999"	"1999/05/04"			81.32
	"May 05, 1999"	"1999/05/05"	"Georgia"	"13"	82.35
"Total"	"May 05, 1999"	"1999/05/05"			82.35
	"May 06, 1999"	"1999/05/06"	"Georgia"	"13"	79.35
"Total"	"May 06, 1999"	"1999/05/06"			79.35
	"May 07, 1999"	"1999/05/07"	"Georgia"	"13"	79.17
"Total"	"May 07, 1999"	"1999/05/07"			79.17
	"May 08, 1999"	"1999/05/08"	"Georgia"	"13"	80.07
"Total"	"May 08, 1999"	"1999/05/08"			80.07
	"May 09, 1999"	"1999/05/09"	"Georgia"	"13"	81.77
"Total"	"May 09, 1999"	"1999/05/09"			81.77
	"May 10, 1999"	"1999/05/10"	"Georgia"	"13"	83.45
"Total"	"May 10, 1999"	"1999/05/10"			83.45
	"May 11, 1999"	"1999/05/11"	"Georgia"	"13"	81.35
"Total"	"May 11, 1999"	"1999/05/11"			81.35
	"May 12, 1999"	"1999/05/12"	"Georgia"	"13"	79.08
"Total"	"May 12, 1999"	"1999/05/12"			79.08
	"May 13, 1999"	"1999/05/13"	"Georgia"	"13"	81.80
"Total"	"May 13, 1999"	"1999/05/13"			81.80
	"May 14, 1999"	"1999/05/14"	"Georgia"	"13"	78.80
"Total"	"May 14, 1999"	"1999/05/14"			78.80
	"May 15, 1999"	"1999/05/15"	"Georgia"	"13"	75.25
"Total"	"May 15, 1999"	"1999/05/15"			75.25
	"May 16, 1999"	"1999/05/16"	"Georgia"	"13"	77.95
"Total"	"May 16, 1999"	"1999/05/16"			77.95
	"May 17, 1999"	"1999/05/17"	"Georgia"	"13"	80.39
"Total"	"May 17, 1999"	"1999/05/17"			80.39
	"May 18, 1999"	"1999/05/18"	"Georgia"	"13"	80.85
"Total"	"May 18, 1999"	"1999/05/18"			80.85
	"May 19, 1999"	"1999/05/19"	"Georgia"	"13"	81.45
"Total"	"May 19, 1999"	"1999/05/19"			81.45
	"May 20, 1999"	"1999/05/20"	"Georgia"	"13"	82.85
"Total"	"May 20, 1999"	"1999/05/20"			82.85
	"May 21, 1999"	"1999/05/21"	"Georgia"	"13"	85.36
"Total"	"May 21, 1999"	"1999/05/21"			85.36
	"May 22, 1999"	"1999/05/22"	"Georgia"	"13"	84.67
"Total"	"May 22, 1999"	"1999/05/22"			84.67
	"May 23, 1999"	"1999/05/23"	"Georgia"	"13"	86.72
"Total"	"May 23, 1999"	"1999/05/23"			86.72
	"May 24, 1999"	"1999/05/24"	"Georgia"	"13"	84.17
"Total"	"May 24, 1999"	"1999/05/24"			84.17
	"May 25, 1999"	"1999/05/25"	"Georgia"	"13"	83.96
"Total"	"May 25, 1999"	"1999/05/25"			83.96
	"May 26, 1999"	"1999/05/26"	"Georgia"	"13"	82.91
"Total"	"May 26, 1999"	"1999/05/26"			82.91
	"May 27, 1999"	"1999/05/27"	"Georgia"	"13"	79.37
"Total"	"May 27, 1999"	"1999/05/27"			79.37
	"May 28, 1999"	"1999/05/28"	"Georgia"	"13"	83.76
"Total"	"May 28, 1999"	"1999/05/28"			83.76
	"May 29, 1999"	"1999/05/29"	"Georgia"	"13"	84.04
"Total"	"May 29, 1999"	"1999/05/29"			84.04
	"May 30, 1999"	"1999/05/30"	"Georgia"	"13"	84.39
"Total"	"May 30, 1999"	"1999/05/30"			84.39
	"May 31, 1999"	"1999/05/31"	"Georgia"	"13"	83.95
"Total"	"May 31, 1999"	"1999/05/31"			83.95
	"Jun 01, 1999"	"1999/06/01"	"Georgia"	"13"	84.86
"Total"	"Jun 01, 1999"	"1999/06/01"			84.86
	"Jun 02, 1999"	"1999/06/02"	"Georgia"	"13"	87.65
"Total"	"Jun 02, 1999"	"1999/06/02"			87.65
	"Jun 03, 1999"	"1999/06/03"	"Georgia"	"13"	87.28
"Total"	"Jun 03, 1999"	"1999/06/03"			87.28
	"Jun 04, 1999"	"1999/06/04"	"Georgia"	"13"	91.81
"Total"	"Jun 04, 1999"	"1999/06/04"			91.81
	"Jun 05, 1999"	"1999/06/05"	"Georgia"	"13"	87.81
"Total"	"Jun 05, 1999"	"1999/06/05"			87.81
	"Jun 06, 1999"	"1999/06/06"	"Georgia"	"13"	86.04
"Total"	"Jun 06, 1999"	"1999/06/06"			86.04
	"Jun 07, 1999"	"1999/06/07"	"Georgia"	"13"	87.86
"Total"	"Jun 07, 1999"	"1999/06/07"			87.86
	"Jun 08, 1999"	"1999/06/08"	"Georgia"	"13"	90.83
"Total"	"Jun 08, 1999"	"1999/06/08"			90.83
	"Jun 09, 1999"	"1999/06/09"	"Georgia"	"13"	92.44
"Total"	"Jun 09, 1999"	"1999/06/09"			92.44
	"Jun 10, 1999"	"1999/06/10"	"Georgia"	"13"	87.20
"Total"	"Jun 10, 1999"	"1999/06/10"			87.20
	"Jun 11, 1999"	"1999/06/11"	"Georgia"	"13"	82.94
"Total"	"Jun 11, 1999"	"1999/06/11"			82.94
	"Jun 12, 1999"	"1999/06/12"	"Georgia"	"13"	82.56
"Total"	"Jun 12, 1999"	"1999/06/12"			82.56
	"Jun 13, 1999"	"1999/06/13"	"Georgia"	"13"	85.75
"Total"	"Jun 13, 1999"	"1999/06/13"			85.75
	"Jun 14, 1999"	"1999/06/14"	"Georgia"	"13"	86.07
"Total"	"Jun 14, 1999"	"1999/06/14"			86.07
	"Jun 15, 1999"	"1999/06/15"	"Georgia"	"13"	87.52
"Total"	"Jun 15, 1999"	"1999/06/15"			87.52
	"Jun 16, 1999"	"1999/06/16"	"Georgia"	"13"	85.12
"Total"	"Jun 16, 1999"	"1999/06/16"			85.12
	"Jun 17, 1999"	"1999/06/17"	"Georgia"	"13"	84.43
"Total"	"Jun 17, 1999"	"1999/06/17"			84.43
	"Jun 18, 1999"	"1999/06/18"	"Georgia"	"13"	81.79
"Total"	"Jun 18, 1999"	"1999/06/18"			81.79
	"Jun 19, 1999"	"1999/06/19"	"Georgia"	"13"	81.72
"Total"	"Jun 19, 1999"	"1999/06/19"			81.72
	"Jun 20, 1999"	"1999/06/20"	"Georgia"	"13"	83.00
"Total"	"Jun 20, 1999"	"1999/06/20"			83.00
	"Jun 21, 1999"	"1999/06/21"	"Georgia"	"13"	85.88
"Total"	"Jun 21, 1999"	"1999/06/21"			85.88
	"Jun 22, 1999"	"1999/06/22"	"Georgia"	"13"	86.34
"Total"	"Jun 22, 1999"	"1999/06/22"			86.34
	"Jun 23, 1999"	"1999/06/23"	"Georgia"	"13"	85.62
"Total"	"Jun 23, 1999"	"1999/06/23"			85.62
	"Jun 24, 1999"	"1999/06/24"	"Georgia"	"13"	81.26
"Total"	"Jun 24, 1999"	"1999/06/24"			81.26
	"Jun 25, 1999"	"1999/06/25"	"Georgia"	"13"	85.81
"Total"	"Jun 25, 1999"	"1999/06/25"			85.81
	"Jun 26, 1999"	"1999/06/26"	"Georgia"	"13"	83.47
"Total"	"Jun 26, 1999"	"1999/06/26"			83.47
	"Jun 27, 1999"	"1999/06/27"	"Georgia"	"13"	81.05
"Total"	"Jun 27, 1999"	"1999/06/27"			81.05
	"Jun 28, 1999"	"1999/06/28"	"Georgia"	"13"	84.04
"Total"	"Jun 28, 1999"	"1999/06/28"			84.04
	"Jun 29, 1999"	"1999/06/29"	"Georgia"	"13"	86.54
"Total"	"Jun 29, 1999"	"1999/06/29"			86.54
	"Jun 30, 1999"	"1999/06/30"	"Georgia"	"13"	87.80
"Total"	"Jun 30, 1999"	"1999/06/30"			87.80
	"Jul 01, 1999"	"1999/07/01"	"Georgia"	"13"	86.22
"Total"	"Jul 01, 1999"	"1999/07/01"			86.22
	"Jul 02, 1999"	"1999/07/02"	"Georgia"	"13"	86.31
"Total"	"Jul 02, 1999"	"1999/07/02"			86.31
	"Jul 03, 1999"	"1999/07/03"	"Georgia"	"13"	86.97
"Total"	"Jul 03, 1999"	"1999/07/03"			86.97
	"Jul 04, 1999"	"1999/07/04"	"Georgia"	"13"	88.48
"Total"	"Jul 04, 1999"	"1999/07/04"			88.48
	"Jul 05, 1999"	"1999/07/05"	"Georgia"	"13"	90.77
"Total"	"Jul 05, 1999"	"1999/07/05"			90.77
	"Jul 06, 1999"	"1999/07/06"	"Georgia"	"13"	91.67
"Total"	"Jul 06, 1999"	"1999/07/06"			91.67
	"Jul 07, 1999"	"1999/07/07"	"Georgia"	"13"	87.74
"Total"	"Jul 07, 1999"	"1999/07/07"			87.74
	"Jul 08, 1999"	"1999/07/08"	"Georgia"	"13"	89.76
"Total"	"Jul 08, 1999"	"1999/07/08"			89.76
	"Jul 09, 1999"	"1999/07/09"	"Georgia"	"13"	89.82
"Total"	"Jul 09, 1999"	"1999/07/09"			89.82
	"Jul 10, 1999"	"1999/07/10"	"Georgia"	"13"	86.25
"Total"	"Jul 10, 1999"	"1999/07/10"			86.25
	"Jul 11, 1999"	"1999/07/11"	"Georgia"	"13"	85.06
"Total"	"Jul 11, 1999"	"1999/07/11"			85.06
	"Jul 12, 1999"	"1999/07/12"	"Georgia"	"13"	81.88
"Total"	"Jul 12, 1999"	"1999/07/12"			81.88
	"Jul 13, 1999"	"1999/07/13"	"Georgia"	"13"	79.91
"Total"	"Jul 13, 1999"	"1999/07/13"			79.91
	"Jul 14, 1999"	"1999/07/14"	"Georgia"	"13"	83.77
"Total"	"Jul 14, 1999"	"1999/07/14"			83.77
	"Jul 15, 1999"	"1999/07/15"	"Georgia"	"13"	85.13
"Total"	"Jul 15, 1999"	"1999/07/15"			85.13
	"Jul 16, 1999"	"1999/07/16"	"Georgia"	"13"	86.39
"Total"	"Jul 16, 1999"	"1999/07/16"			86.39
	"Jul 17, 1999"	"1999/07/17"	"Georgia"	"13"	84.59
"Total"	"Jul 17, 1999"	"1999/07/17"			84.59
	"Jul 18, 1999"	"1999/07/18"	"Georgia"	"13"	86.86
"Total"	"Jul 18, 1999"	"1999/07/18"			86.86
	"Jul 19, 1999"	"1999/07/19"	"Georgia"	"13"	88.18
"Total"	"Jul 19, 1999"	"1999/07/19"			88.18
	"Jul 20, 1999"	"1999/07/20"	"Georgia"	"13"	90.09
"Total"	"Jul 20, 1999"	"1999/07/20"			90.09
	"Jul 21, 1999"	"1999/07/21"	"Georgia"	"13"	91.61
"Total"	"Jul 21, 1999"	"1999/07/21"			91.61
	"Jul 22, 1999"	"1999/07/22"	"Georgia"	"13"	92.86
"Total"	"Jul 22, 1999"	"1999/07/22"			92.86
	"Jul 23, 1999"	"1999/07/23"	"Georgia"	"13"	93.21
"Total"	"Jul 23, 1999"	"1999/07/23"			93.21
	"Jul 24, 1999"	"1999/07/24"	"Georgia"	"13"	93.26
"Total"	"Jul 24, 1999"	"1999/07/24"			93.26
	"Jul 25, 1999"	"1999/07/25"	"Georgia"	"13"	91.50
"Total"	"Jul 25, 1999"	"1999/07/25"			91.50
	"Jul 26, 1999"	"1999/07/26"	"Georgia"	"13"	93.79
"Total"	"Jul 26, 1999"	"1999/07/26"			93.79
	"Jul 27, 1999"	"1999/07/27"	"Georgia"	"13"	95.30
"Total"	"Jul 27, 1999"	"1999/07/27"			95.30
	"Jul 28, 1999"	"1999/07/28"	"Georgia"	"13"	95.88
"Total"	"Jul 28, 1999"	"1999/07/28"			95.88
	"Jul 29, 1999"	"1999/07/29"	"Georgia"	"13"	93.44
"Total"	"Jul 29, 1999"	"1999/07/29"			93.44
	"Jul 30, 1999"	"1999/07/30"	"Georgia"	"13"	98.20
"Total"	"Jul 30, 1999"	"1999/07/30"			98.20
	"Jul 31, 1999"	"1999/07/31"	"Georgia"	"13"	99.77
"Total"	"Jul 31, 1999"	"1999/07/31"			99.77
	"Aug 01, 1999"	"1999/08/01"	"Georgia"	"13"	99.00
"Total"	"Aug 01, 1999"	"1999/08/01"			99.00
	"Aug 02, 1999"	"1999/08/02"	"Georgia"	"13"	96.12
"Total"	"Aug 02, 1999"	"1999/08/02"			96.12
	"Aug 03, 1999"	"1999/08/03"	"Georgia"	"13"	89.77
"Total"	"Aug 03, 1999"	"1999/08/03"			89.77
	"Aug 04, 1999"	"1999/08/04"	"Georgia"	"13"	91.16
"Total"	"Aug 04, 1999"	"1999/08/04"			91.16
	"Aug 05, 1999"	"1999/08/05"	"Georgia"	"13"	91.48
"Total"	"Aug 05, 1999"	"1999/08/05"			91.48
	"Aug 06, 1999"	"1999/08/06"	"Georgia"	"13"	93.20
"Total"	"Aug 06, 1999"	"1999/08/06"			93.20
	"Aug 07, 1999"	"1999/08/07"	"Georgia"	"13"	93.27
"Total"	"Aug 07, 1999"	"1999/08/07"			93.27
	"Aug 08, 1999"	"1999/08/08"	"Georgia"	"13"	91.46
"Total"	"Aug 08, 1999"	"1999/08/08"			91.46
	"Aug 09, 1999"	"1999/08/09"	"Georgia"	"13"	89.44
"Total"	"Aug 09, 1999"	"1999/08/09"			89.44
	"Aug 10, 1999"	"1999/08/10"	"Georgia"	"13"	90.20
"Total"	"Aug 10, 1999"	"1999/08/10"			90.20
	"Aug 11, 1999"	"1999/08/11"	"Georgia"	"13"	93.54
"Total"	"Aug 11, 1999"	"1999/08/11"			93.54
	"Aug 12, 1999"	"1999/08/12"	"Georgia"	"13"	96.30
"Total"	"Aug 12, 1999"	"1999/08/12"			96.30
	"Aug 13, 1999"	"1999/08/13"	"Georgia"	"13"	97.07
"Total"	"Aug 13, 1999"	"1999/08/13"			97.07
	"Aug 14, 1999"	"1999/08/14"	"Georgia"	"13"	95.87
"Total"	"Aug 14, 1999"	"1999/08/14"			95.87
	"Aug 15, 1999"	"1999/08/15"	"Georgia"	"13"	93.09
"Total"	"Aug 15, 1999"	"1999/08/15"			93.09
	"Aug 16, 1999"	"1999/08/16"	"Georgia"	"13"	90.41
"Total"	"Aug 16, 1999"	"1999/08/16"			90.41
	"Aug 17, 1999"	"1999/08/17"	"Georgia"	"13"	93.55
"Total"	"Aug 17, 1999"	"1999/08/17"			93.55
	"Aug 18, 1999"	"1999/08/18"	"Georgia"	"13"	95.62
"Total"	"Aug 18, 1999"	"1999/08/18"			95.62
	"Aug 19, 1999"	"1999/08/19"	"Georgia"	"13"	94.95
"Total"	"Aug 19, 1999"	"1999/08/19"			94.95
	"Aug 20, 1999"	"1999/08/20"	"Georgia"	"13"	92.08
"Total"	"Aug 20, 1999"	"1999/08/20"			92.08
	"Aug 21, 1999"	"1999/08/21"	"Georgia"	"13"	91.38
"Total"	"Aug 21, 1999"	"1999/08/21"			91.38
	"Aug 22, 1999"	"1999/08/22"	"Georgia"	"13"	91.57
"Total"	"Aug 22, 1999"	"1999/08/22"			91.57
	"Aug 23, 1999"	"1999/08/23"	"Georgia"	"13"	89.28
"Total"	"Aug 23, 1999"	"1999/08/23"			89.28
	"Aug 24, 1999"	"1999/08/24"	"Georgia"	"13"	85.29
"Total"	"Aug 24, 1999"	"1999/08/24"			85.29
	"Aug 25, 1999"	"1999/08/25"	"Georgia"	"13"	87.55
"Total"	"Aug 25, 1999"	"1999/08/25"			87.55
	"Aug 26, 1999"	"1999/08/26"	"Georgia"	"13"	90.54
"Total"	"Aug 26, 1999"	"1999/08/26"			90.54
	"Aug 27, 1999"	"1999/08/27"	"Georgia"	"13"	91.67
"Total"	"Aug 27, 1999"	"1999/08/27"			91.67
	"Aug 28, 1999"	"1999/08/28"	"Georgia"	"13"	89.90
"Total"	"Aug 28, 1999"	"1999/08/28"			89.90
	"Aug 29, 1999"	"1999/08/29"	"Georgia"	"13"	91.67
"Total"	"Aug 29, 1999"	"1999/08/29"			91.67
	"Aug 30, 1999"	"1999/08/30"	"Georgia"	"13"	90.84
"Total"	"Aug 30, 1999"	"1999/08/30"			90.84
	"Aug 31, 1999"	"1999/08/31"	"Georgia"	"13"	85.29
"Total"	"Aug 31, 1999"	"1999/08/31"			85.29
	"Sep 01, 1999"	"1999/09/01"	"Georgia"	"13"	88.68
"Total"	"Sep 01, 1999"	"1999/09/01"			88.68
	"Sep 02, 1999"	"1999/09/02"	"Georgia"	"13"	90.52
"Total"	"Sep 02, 1999"	"1999/09/02"			90.52
	"Sep 03, 1999"	"1999/09/03"	"Georgia"	"13"	92.28
"Total"	"Sep 03, 1999"	"1999/09/03"			92.28
	"Sep 04, 1999"	"1999/09/04"	"Georgia"	"13"	92.83
"Total"	"Sep 04, 1999"	"1999/09/04"			92.83
	"Sep 05, 1999"	"1999/09/05"	"Georgia"	"13"	94.00
"Total"	"Sep 05, 1999"	"1999/09/05"			94.00
	"Sep 06, 1999"	"1999/09/06"	"Georgia"	"13"	94.48
"Total"	"Sep 06, 1999"	"1999/09/06"			94.48
	"Sep 07, 1999"	"1999/09/07"	"Georgia"	"13"	91.95
"Total"	"Sep 07, 1999"	"1999/09/07"			91.95
	"Sep 08, 1999"	"1999/09/08"	"Georgia"	"13"	91.36
"Total"	"Sep 08, 1999"	"1999/09/08"			91.36
	"Sep 09, 1999"	"1999/09/09"	"Georgia"	"13"	86.95
"Total"	"Sep 09, 1999"	"1999/09/09"			86.95
	"Sep 10, 1999"	"1999/09/10"	"Georgia"	"13"	86.02
"Total"	"Sep 10, 1999"	"1999/09/10"			86.02
	"Sep 11, 1999"	"1999/09/11"	"Georgia"	"13"	89.10
"Total"	"Sep 11, 1999"	"1999/09/11"			89.10
	"Sep 12, 1999"	"1999/09/12"	"Georgia"	"13"	88.27
"Total"	"Sep 12, 1999"	"1999/09/12"			88.27
	"Sep 13, 1999"	"1999/09/13"	"Georgia"	"13"	86.81
"Total"	"Sep 13, 1999"	"1999/09/13"			86.81
	"Sep 14, 1999"	"1999/09/14"	"Georgia"	"13"	88.05
"Total"	"Sep 14, 1999"	"1999/09/14"			88.05
	"Sep 15, 1999"	"1999/09/15"	"Georgia"	"13"	83.73
"Total"	"Sep 15, 1999"	"1999/09/15"			83.73
	"Sep 16, 1999"	"1999/09/16"	"Georgia"	"13"	84.17
"Total"	"Sep 16, 1999"	"1999/09/16"			84.17
	"Sep 17, 1999"	"1999/09/17"	"Georgia"	"13"	82.98
"Total"	"Sep 17, 1999"	"1999/09/17"			82.98
	"Sep 18, 1999"	"1999/09/18"	"Georgia"	"13"	82.43
"Total"	"Sep 18, 1999"	"1999/09/18"			82.43
	"Sep 19, 1999"	"1999/09/19"	"Georgia"	"13"	75.26
"Total"	"Sep 19, 1999"	"1999/09/19"			75.26
	"Sep 20, 1999"	"1999/09/20"	"Georgia"	"13"	76.07
"Total"	"Sep 20, 1999"	"1999/09/20"			76.07
	"Sep 21, 1999"	"1999/09/21"	"Georgia"	"13"	77.03
"Total"	"Sep 21, 1999"	"1999/09/21"			77.03
	"Sep 22, 1999"	"1999/09/22"	"Georgia"	"13"	72.21
"Total"	"Sep 22, 1999"	"1999/09/22"			72.21
	"Sep 23, 1999"	"1999/09/23"	"Georgia"	"13"	76.82
"Total"	"Sep 23, 1999"	"1999/09/23"			76.82
	"Sep 24, 1999"	"1999/09/24"	"Georgia"	"13"	81.53
"Total"	"Sep 24, 1999"	"1999/09/24"			81.53
	"Sep 25, 1999"	"1999/09/25"	"Georgia"	"13"	84.66
"Total"	"Sep 25, 1999"	"1999/09/25"			84.66
	"Sep 26, 1999"	"1999/09/26"	"Georgia"	"13"	85.71
"Total"	"Sep 26, 1999"	"1999/09/26"			85.71
	"Sep 27, 1999"	"1999/09/27"	"Georgia"	"13"	78.83
"Total"	"Sep 27, 1999"	"1999/09/27"			78.83
	"Sep 28, 1999"	"1999/09/28"	"Georgia"	"13"	79.96
"Total"	"Sep 28, 1999"	"1999/09/28"			79.96
	"Sep 29, 1999"	"1999/09/29"	"Georgia"	"13"	81.43
"Total"	"Sep 29, 1999"	"1999/09/29"			81.43
	"Sep 30, 1999"	"1999/09/30"	"Georgia"	"13"	75.51
"Total"	"Sep 30, 1999"	"1999/09/30"			75.51
	"Oct 01, 1999"	"1999/10/01"	"Georgia"	"13"	77.34
"Total"	"Oct 01, 1999"	"1999/10/01"			77.34
	"Oct 02, 1999"	"1999/10/02"	"Georgia"	"13"	83.63
"Total"	"Oct 02, 1999"	"1999/10/02"			83.63
	"Oct 03, 1999"	"1999/10/03"	"Georgia"	"13"	85.14
"Total"	"Oct 03, 1999"	"1999/10/03"			85.14
	"Oct 04, 1999"	"1999/10/04"	"Georgia"	"13"	79.28
"Total"	"Oct 04, 1999"	"1999/10/04"			79.28
	"Oct 05, 1999"	"1999/10/05"	"Georgia"	"13"	78.94
"Total"	"Oct 05, 1999"	"1999/10/05"			78.94
	"Oct 06, 1999"	"1999/10/06"	"Georgia"	"13"	80.61
"Total"	"Oct 06, 1999"	"1999/10/06"			80.61
	"Oct 07, 1999"	"1999/10/07"	"Georgia"	"13"	77.44
"Total"	"Oct 07, 1999"	"1999/10/07"			77.44
	"Oct 08, 1999"	"1999/10/08"	"Georgia"	"13"	78.16
"Total"	"Oct 08, 1999"	"1999/10/08"			78.16
	"Oct 09, 1999"	"1999/10/09"	"Georgia"	"13"	77.50
"Total"	"Oct 09, 1999"	"1999/10/09"			77.50
	"Oct 10, 1999"	"1999/10/10"	"Georgia"	"13"	76.40
"Total"	"Oct 10, 1999"	"1999/10/10"			76.40
	"Oct 11, 1999"	"1999/10/11"	"Georgia"	"13"	81.72
"Total"	"Oct 11, 1999"	"1999/10/11"			81.72
	"Oct 12, 1999"	"1999/10/12"	"Georgia"	"13"	78.67
"Total"	"Oct 12, 1999"	"1999/10/12"			78.67
	"Oct 13, 1999"	"1999/10/13"	"Georgia"	"13"	76.80
"Total"	"Oct 13, 1999"	"1999/10/13"			76.80
	"Oct 14, 1999"	"1999/10/14"	"Georgia"	"13"	81.05
"Total"	"Oct 14, 1999"	"1999/10/14"			81.05
	"Oct 15, 1999"	"1999/10/15"	"Georgia"	"13"	79.06
"Total"	"Oct 15, 1999"	"1999/10/15"			79.06
	"Oct 16, 1999"	"1999/10/16"	"Georgia"	"13"	78.88
"Total"	"Oct 16, 1999"	"1999/10/16"			78.88
	"Oct 17, 1999"	"1999/10/17"	"Georgia"	"13"	79.67
"Total"	"Oct 17, 1999"	"1999/10/17"			79.67
	"Oct 18, 1999"	"1999/10/18"	"Georgia"	"13"	77.24
"Total"	"Oct 18, 1999"	"1999/10/18"			77.24
	"Oct 19, 1999"	"1999/10/19"	"Georgia"	"13"	77.98
"Total"	"Oct 19, 1999"	"1999/10/19"			77.98
	"Oct 20, 1999"	"1999/10/20"	"Georgia"	"13"	70.75
"Total"	"Oct 20, 1999"	"1999/10/20"			70.75
	"Oct 21, 1999"	"1999/10/21"	"Georgia"	"13"	69.35
"Total"	"Oct 21, 1999"	"1999/10/21"			69.35
	"Oct 22, 1999"	"1999/10/22"	"Georgia"	"13"	72.20
"Total"	"Oct 22, 1999"	"1999/10/22"			72.20
	"Oct 23, 1999"	"1999/10/23"	"Georgia"	"13"	59.89
"Total"	"Oct 23, 1999"	"1999/10/23"			59.89
	"Oct 24, 1999"	"1999/10/24"	"Georgia"	"13"	58.70
"Total"	"Oct 24, 1999"	"1999/10/24"			58.70
	"Oct 25, 1999"	"1999/10/25"	"Georgia"	"13"	64.65
"Total"	"Oct 25, 1999"	"1999/10/25"			64.65
	"Oct 26, 1999"	"1999/10/26"	"Georgia"	"13"	68.86
"Total"	"Oct 26, 1999"	"1999/10/26"			68.86
	"Oct 27, 1999"	"1999/10/27"	"Georgia"	"13"	72.22
"Total"	"Oct 27, 1999"	"1999/10/27"			72.22
	"Oct 28, 1999"	"1999/10/28"	"Georgia"	"13"	73.39
"Total"	"Oct 28, 1999"	"1999/10/28"			73.39
	"Oct 29, 1999"	"1999/10/29"	"Georgia"	"13"	74.86
"Total"	"Oct 29, 1999"	"1999/10/29"			74.86
	"Oct 30, 1999"	"1999/10/30"	"Georgia"	"13"	77.41
"Total"	"Oct 30, 1999"	"1999/10/30"			77.41
	"Oct 31, 1999"	"1999/10/31"	"Georgia"	"13"	79.27
"Total"	"Oct 31, 1999"	"1999/10/31"			79.27
	"Nov 01, 1999"	"1999/11/01"	"Georgia"	"13"	74.55
"Total"	"Nov 01, 1999"	"1999/11/01"			74.55
	"Nov 02, 1999"	"1999/11/02"	"Georgia"	"13"	66.07
"Total"	"Nov 02, 1999"	"1999/11/02"			66.07
	"Nov 03, 1999"	"1999/11/03"	"Georgia"	"13"	54.17
"Total"	"Nov 03, 1999"	"1999/11/03"			54.17
	"Nov 04, 1999"	"1999/11/04"	"Georgia"	"13"	61.46
"Total"	"Nov 04, 1999"	"1999/11/04"			61.46
	"Nov 05, 1999"	"1999/11/05"	"Georgia"	"13"	66.90
"Total"	"Nov 05, 1999"	"1999/11/05"			66.90
	"Nov 06, 1999"	"1999/11/06"	"Georgia"	"13"	71.25
"Total"	"Nov 06, 1999"	"1999/11/06"			71.25
	"Nov 07, 1999"	"1999/11/07"	"Georgia"	"13"	73.05
"Total"	"Nov 07, 1999"	"1999/11/07"			73.05
	"Nov 08, 1999"	"1999/11/08"	"Georgia"	"13"	74.01
"Total"	"Nov 08, 1999"	"1999/11/08"			74.01
	"Nov 09, 1999"	"1999/11/09"	"Georgia"	"13"	75.40
"Total"	"Nov 09, 1999"	"1999/11/09"			75.40
	"Nov 10, 1999"	"1999/11/10"	"Georgia"	"13"	75.77
"Total"	"Nov 10, 1999"	"1999/11/10"			75.77
	"Nov 11, 1999"	"1999/11/11"	"Georgia"	"13"	75.53
"Total"	"Nov 11, 1999"	"1999/11/11"			75.53
	"Nov 12, 1999"	"1999/11/12"	"Georgia"	"13"	71.62
"Total"	"Nov 12, 1999"	"1999/11/12"			71.62
	"Nov 13, 1999"	"1999/11/13"	"Georgia"	"13"	72.13
"Total"	"Nov 13, 1999"	"1999/11/13"			72.13
	"Nov 14, 1999"	"1999/11/14"	"Georgia"	"13"	75.00
"Total"	"Nov 14, 1999"	"1999/11/14"			75.00
	"Nov 15, 1999"	"1999/11/15"	"Georgia"	"13"	66.73
"Total"	"Nov 15, 1999"	"1999/11/15"			66.73
	"Nov 16, 1999"	"1999/11/16"	"Georgia"	"13"	61.84
"Total"	"Nov 16, 1999"	"1999/11/16"			61.84
	"Nov 17, 1999"	"1999/11/17"	"Georgia"	"13"	60.63
"Total"	"Nov 17, 1999"	"1999/11/17"			60.63
	"Nov 18, 1999"	"1999/11/18"	"Georgia"	"13"	64.90
"Total"	"Nov 18, 1999"	"1999/11/18"			64.90
	"Nov 19, 1999"	"1999/11/19"	"Georgia"	"13"	71.94
"Total"	"Nov 19, 1999"	"1999/11/19"			71.94
	"Nov 20, 1999"	"1999/11/20"	"Georgia"	"13"	70.55
